parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters
alpha_	log10	0.001	1000.0	1.3	1		
beta_	log10	0.001	1000.0	0.0	0		
gamma_	log10	0.001	1000.0	0.8	1		
delta_	log10	0.001	1000.0	0.0	0		
neural_network_nn1__layer_0__node__0__bias__	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_0__node__0__weight__predator	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_0__node__0__weight__prey	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_0__node__1__bias__	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_0__node__1__weight__predator	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_0__node__1__weight__prey	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_1__node__0__bias__	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_1__node__0__weight__neural_network_nn1__layer_0__node__0	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_1__node__0__weight__neural_network_nn1__layer_0__node__1	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_1__node__1__bias__	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_1__node__1__weight__neural_network_nn1__layer_0__node__0	lin	-10.0	10.0	0.0	1	normal	0;0.0001
neural_network_nn1__layer_1__node__1__weight__neural_network_nn1__layer_0__node__1	lin	-10.0	10.0	0.0	1	normal	0;0.0001
